,QueryNumber,1,2,3,4,5,6,7,8,9,10
0,1.0,0.0,0.0,0.0,0.0,0.0,0.17928673655324925,0.2205577464303282,0.2205577464303282,0.2205577464303282,0.360069944656442
1,2.0,0.0,0.0,0.31546487678572877,0.31546487678572877,0.5308031558224253,0.5308031558224253,0.5308031558224253,0.5308031558224253,0.5308031558224253,0.5308031558224253
2,3.0,1.0,0.5,0.7558535639322439,0.7558535639322439,0.7558535639322439,0.7558535639322439,0.7558535639322439,0.7558535639322439,0.7924040730654216,0.7924040730654216
3,4.0,0.0,0.0,0.6309297535714575,0.6309297535714575,0.6309297535714575,0.6309297535714575,0.6309297535714575,0.6309297535714575,0.6309297535714575,0.6309297535714575
4,5.0,1.0,0.625,0.4751172083949178,0.47727647586527483,0.4961084416334871,0.6059425721774278,0.6169972348369137,0.601214173157119,0.6496325581383812,0.7420383205134189
5,6.0,1.0,0.8,0.8224094343628168,0.8368926019063473,0.8368926019063473,0.8999911567395987,0.8999911567395987,0.8999911567395987,0.8999911567395987,0.8999911567395987
6,7.0,1.0,0.5714285714285714,0.48415250786360375,0.6277206334473001,0.6277206334473001,0.6718725405760516,0.6718725405760516,0.6718725405760516,0.6718725405760516,0.7405862640541724
7,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,9.0,1.0,0.5,0.5,0.5,0.5,0.5,0.6781035935540111,0.6781035935540111,0.6781035935540111,0.6781035935540111
9,10.0,0.0,0.0,0.23981246656813146,0.20151514190050246,0.32779802213543596,0.4472486920099823,0.5572367451363083,0.5572367451363083,0.5572367451363083,0.5804744171668188
10,11.0,1.0,0.7142857142857143,0.9032699137989552,0.8477246107908828,0.8553845566137442,0.8184052384322538,0.8184052384322538,0.8556555995173336,0.8556555995173336,0.8892960276251036
11,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,13.0,1.0,0.875,0.7075860827034861,0.7216541981035484,0.6929388539280298,0.7286808993792224,0.7286808993792224,0.7286808993792224,0.8452664301389291,0.8452664301389291
13,14.0,1.0,0.5,0.4043349044019921,0.5773233584828387,0.5543510831424239,0.5543510831424239,0.6530830031406479,0.6838802855374492,0.7130266682273759,0.7130266682273759
14,15.0,1.0,1.0,0.8201406500739014,0.8488636435746231,0.8629977062126878,0.8172313494522065,0.8930878158240353,0.917236703386532,0.917236703386532,0.9369389154196577
15,16.0,0.25,0.625,0.4751172083949178,0.433887705332068,0.5623627051323041,0.5760810268824795,0.6338073080740988,0.6338073080740988,0.7360546227970889,0.7360546227970889
16,17.0,1.0,0.5,0.38009376671593426,0.33267577155183436,0.3772856734472596,0.4973790041848821,0.4973790041848821,0.4973790041848821,0.5708279240494395,0.6642786995256569
17,18.0,0.75,0.42857142857142855,0.5501973697194446,0.6151177610114408,0.6576754828402991,0.6789346937401609,0.6600625532646661,0.6860742825920623,0.784543726439071,0.784543726439071
18,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,20.0,1.0,1.0,1.0,0.8802272712850754,0.8947104291751958,0.9050262422100426,0.9128852335247433,0.9359631096830846,0.9381065392620923,0.9705175848762497
20,21.0,1.0,1.0,0.7601875334318685,0.7984848580994974,0.7984848580994974,0.7984848580994974,0.9122552762002856,0.9122552762002856,0.9122552762002856,0.9122552762002856
21,22.0,0.5,0.5,0.41311732856427996,0.3631143808977028,0.3946692348854836,0.4630688509553357,0.44558734244278747,0.5162417730117276,0.5496752598624223,0.6772898774292768
22,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,24.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
24,25.0,0.0,0.125,0.334835908247115,0.501075817256186,0.5198349869047534,0.5198349869047534,0.5198349869047534,0.6362386264429949,0.6362386264429949,0.6362386264429949
25,26.0,0.0,0.5,0.6199062332840657,0.7396673768007592,0.7490462832820628,0.7490462832820628,0.7490462832820628,0.7490462832820628,0.7490462832820628,0.7994093474523698
26,27.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
27,28.0,0.0,0.0,0.29240407306542165,0.27639233707812794,0.46505945847611657,0.5074267548714512,0.5074267548714512,0.5074267548714512,0.5074267548714512,0.5403949195368553
28,29.0,0.25,0.125,0.10108372610049803,0.28866167924141933,0.28866167924141933,0.4003312601969992,0.4003312601969992,0.4003312601969992,0.4003312601969992,0.5161923589308686
29,30.0,0.5,0.3333333333333333,0.27541155237618664,0.25767021396863515,0.25767021396863515,0.25767021396863515,0.30356220502828,0.3894522763511584,0.5520240809530942,0.5520240809530942
30,31.0,1.0,1.0,0.8201406500739014,0.8488636435746231,0.8671393540517235,0.8442152155131939,0.8442152155131939,0.8442152155131939,0.9304473982478089,0.9304473982478089
