,MVP,QueryNumber
0,16.363139634079108,1.0
1,13.861007971051825,2.0
2,11.079498989100554,3.0
3,8.448681406440333,4.0
4,15.952096029730576,5.0
5,22.110750990974477,6.0
6,11.396898987812486,7.0
7,1.905385024263134,8.0
8,23.18354629584212,9.0
9,23.666305527945905,10.0
10,45.22328312584987,11.0
11,1.6939546141730946,12.0
12,22.861399439124828,13.0
13,18.937490642461178,14.0
14,16.382635904492453,15.0
15,20.208406472384794,16.0
16,17.657649067469304,17.0
17,51.83247758565018,18.0
18,7.810714684456777,19.0
19,56.412207958530466,20.0
20,18.704842899179813,21.0
21,14.428179287863173,22.0
22,6.301172446968175,23.0
23,9.555209220450479,24.0
24,20.014952844662222,25.0
25,23.802383967301505,26.0
26,20.278556452668933,27.0
27,11.472871059716981,28.0
28,3.783719928905772,29.0
29,21.770540398665233,30.0
30,15.126871108708972,31.0
31,11.818927886047735,32.0
32,48.831003405013384,33.0
33,36.431878191340004,34.0
34,26.60785064101824,35.0
35,15.927165875765663,36.0
36,47.00966128290728,37.0
37,0.9959195849269681,38.0
38,19.914359718884466,39.0
39,13.289416366208135,40.0
40,18.958760405291812,41.0
41,23.15592696820195,42.0
42,34.20543767618579,43.0
43,32.992581934230735,44.0
44,16.965455287540756,45.0
45,22.20717788053325,46.0
46,7.534875789694507,47.0
47,11.89129748452926,48.0
48,28.07083442263559,49.0
49,21.650494479906637,50.0
50,26.276538471502093,51.0
51,50.21097046413502,52.0
52,32.923844680259535,53.0
53,32.05450426365163,54.0
54,3.2084852059693882,55.0
55,8.524118105794576,56.0
56,55.6853988743929,57.0
57,40.192345572631034,58.0
58,17.342167983728665,59.0
59,8.617454419922344,60.0
60,27.508009212443152,61.0
61,25.782843847552687,62.0
62,9.694782802053966,63.0
63,12.288587477034309,64.0
64,22.53431274956093,65.0
65,15.077941737478833,66.0
66,21.151783053170558,67.0
67,5.000219999687616,68.0
68,35.88449162777188,69.0
69,28.454408193465436,70.0
70,33.019749485698014,71.0
71,41.79246874635041,72.0
72,28.3486846614845,73.0
73,32.08083784261147,74.0
74,37.23421447935476,75.0
75,18.796043848234746,76.0
76,9.373935705722477,77.0
77,25.263838677924756,78.0
78,16.67288636281418,79.0
79,25.74289992300251,80.0
80,21.883748483784622,81.0
81,13.011571378746922,82.0
82,19.263194778087758,83.0
83,44.96487423821893,84.0
84,5.481657010214367,85.0
85,26.61719847159178,86.0
86,10.038712846272654,87.0
87,6.623057356872255,88.0
88,32.731123825644836,89.0
89,59.87854491836483,90.0
90,17.724681124742833,91.0
91,26.515830437738632,92.0
92,14.139932542901835,94.0
93,23.879035196917673,95.0
94,23.265459471708283,96.0
95,25.97075803505468,97.0
96,15.682490923722684,98.0
97,60.523243976925684,99.0
98,26.369988339284667,100.0
